1935570104,TI,193
1339517250,PASSPORT,131
1729813420,TI,139
1948290457,PASSPORT,164
1190560061,CC,133
1757430334,TI,189
1592376389,PASSPORT,146
1504788542,TI,178
1234699955,CC,157
1689541709,CC,138
1326813070,TI,191
1582653008,CE,191
1092964282,PASSPORT,100
1741302666,PASSPORT,100
1961150307,TI,131
1763050743,CE,138
1480181277,PASSPORT,159
1243762074,PASSPORT,159
1748739214,CE,138
1577923641,CE,146
1131661374,PASSPORT,100
1117674321,PASSPORT,191
1765603811,CE,189
1824186885,CC,189
1361466492,TI,118
1113474098,CE,146
1655619911,CC,191
1901299134,PASSPORT,164
1856672314,PASSPORT,128
1037319552,CC,129
1209762681,CC,187
1249498097,TI,100
